,description_edition,lien
0,,https://www.sifatusafwa.com/fr/explications-de-livres-de-aqida/charh-aqidah-ibn-abi-zayd-al-qayrawani-cheikh-an-najmi.html
1,,https://www.sifatusafwa.com/fr/explications-de-livres-de-aqida/charh-usul-as-sunnah-lil-imam-ibn-abi-zamanin-zayd-al-madkhali.html
2,"Le charh d'un des plus grands savants de la Sunna Maliki, l'imam ibn Abdel Bar, du Muwatta de l'imam Malik, intitulé at-Tamhid.",https://www.sifatusafwa.com/fr/explications-de-recueils/at-tamhid-charh-al-muwatta-de-l-imam-ibn-abdil-barr.html#/21-edition-egyptienne
3,"Le charh d'un des plus grands savants de la Sunna Maliki, l'imam ibn Abdel Bar, du Muwatta de l'imam Malik, intitulé at-Tamhid.",https://www.sifatusafwa.com/fr/explications-de-recueils/at-tamhid-charh-al-muwatta-de-l-imam-ibn-abdil-barr.html#/23-edition-libanaise_qualité_saoudienne
4,"Cette explication en 2 tomes est à la base une thèse de Doctorat (reçu mention excellent, son auteur est désormais professeur de Chari'a à 'Umm al-Qura). Magnifique, vérifiée à partir de 6 manuscrits, authentifiée, référencée et annotée.",https://www.sifatusafwa.com/fr/explications-de-recueils/kitab-al-qabas-fi-charh-muwatta-malik-ibn-anas-ibnul-arabi-al-maliki.html#/21-edition-egyptienne
5,"Cette explication en 2 tomes est à la base une thèse de Doctorat (reçu mention excellent, son auteur est désormais professeur de Chari'a à 'Umm al-Qura). Magnifique, vérifiée à partir de 6 manuscrits, authentifiée, référencée et annotée.",https://www.sifatusafwa.com/fr/explications-de-recueils/kitab-al-qabas-fi-charh-muwatta-malik-ibn-anas-ibnul-arabi-al-maliki.html#/22-edition-saoudienne
6,"Très belle édition en 4 volumes, avec référencement des hadiths et paroles des spécialistes sur leur degré d’authenticité. Avec quelques annotations également pour donner des précisions sur le texte.",https://www.sifatusafwa.com/fr/fiqh-généraliste/bidayah-al-mujtahid-wa-nihaya-al-muqtassid-ibn-rushd.html#/30-edition-1_volume
7,"Très belle édition en 4 volumes, avec référencement des hadiths et paroles des spécialistes sur leur degré d’authenticité. Avec quelques annotations également pour donner des précisions sur le texte.",https://www.sifatusafwa.com/fr/fiqh-généraliste/bidayah-al-mujtahid-wa-nihaya-al-muqtassid-ibn-rushd.html#/39-edition-4_volumes
8,"Bonne édition égyptienne, vérifiée et annotée, en 5 volumes.",https://www.sifatusafwa.com/fr/fiqh-maliki/al-charh-al-saghir-ala-aqrab-al-masalik-ad-dardir-ta-aliqat-al-sawi-al-mubarak.html#/51-edition-5_volumes
9,"Bonne édition égyptienne, vérifiée et annotée, en 5 volumes.",https://www.sifatusafwa.com/fr/fiqh-maliki/al-charh-al-saghir-ala-aqrab-al-masalik-ad-dardir-ta-aliqat-al-sawi-al-mubarak.html#/87-edition-8_volumes
10,"Édition syrienne en deux volumes, vérifiée à partir de deux manuscrits. Il s'agit d'une édition sérieuse et fidèle à l’œuvre de l'auteur, en effet le Muhaqqiq ne donne pas son avis mais se contente de donner les sources des Hadiths et des paroles complémentaires d'Ibn Abd al-Barr issue de ses autres ouvrages.",https://www.sifatusafwa.com/fr/fiqh-maliki/al-kafi-fi-fiqh-ala-madh-hab-ahl-al-medina-ibn-abdel-barr-fiqh-maliki.html#/31-edition-2_volumes
11,"Édition syrienne en deux volumes, vérifiée à partir de deux manuscrits. Il s'agit d'une édition sérieuse et fidèle à l’œuvre de l'auteur, en effet le Muhaqqiq ne donne pas son avis mais se contente de donner les sources des Hadiths et des paroles complémentaires d'Ibn Abd al-Barr issue de ses autres ouvrages.",https://www.sifatusafwa.com/fr/fiqh-maliki/al-kafi-fi-fiqh-ala-madh-hab-ahl-al-medina-ibn-abdel-barr-fiqh-maliki.html#/38-edition-3_volumes
12,"Édition égyptienne 100% harakat, authentifiée selon cheikh al-Albani pour les hadith ou c'est possible, tout les référencements de Hadith et Athar, l'explication de certains termes difficiles, les biographies de personnes citées.",https://www.sifatusafwa.com/fr/fiqh-maliki/al-moudawanah-fi-fourou-al-malikiyah-sahnoun.html#/33-edition-édition_1
13,"Édition égyptienne 100% harakat, authentifiée selon cheikh al-Albani pour les hadith ou c'est possible, tout les référencements de Hadith et Athar, l'explication de certains termes difficiles, les biographies de personnes citées.",https://www.sifatusafwa.com/fr/fiqh-maliki/al-moudawanah-fi-fourou-al-malikiyah-sahnoun.html#/34-edition-édition_2
14,"Édition en petit format (10x15cm), couverture semi-rigide effet cuir. Imprimé sous le titre Manar as-Salik 'ala Aqrab al-Masalik. 100% Harakat, 295 pages.",https://www.sifatusafwa.com/fr/fiqh-maliki/aqrab-al-masalik-li-madhhab-al-imam-malik-ad-dardir-harakat.html#/40-edition-petit_format
15,"Édition en petit format (10x15cm), couverture semi-rigide effet cuir. Imprimé sous le titre Manar as-Salik 'ala Aqrab al-Masalik. 100% Harakat, 295 pages.",https://www.sifatusafwa.com/fr/fiqh-maliki/aqrab-al-masalik-li-madhhab-al-imam-malik-ad-dardir-harakat.html#/42-edition-grand_format
16,,https://www.sifatusafwa.com/fr/fiqh-maliki/ath-thamar-ad-dani-charh-risala-ibn-abi-zayd-al-qayrawani.html#/23-edition-libanaise_qualité_saoudienne
17,,https://www.sifatusafwa.com/fr/fiqh-maliki/ath-thamar-ad-dani-charh-risala-ibn-abi-zayd-al-qayrawani.html#/24-edition-egyptienne_avec_harakat
18,,https://www.sifatusafwa.com/fr/fiqh-maliki/fatawa-ibn-sahnoun-al-imam-al-qayrawani-al-maliki-256h.html
19,,https://www.sifatusafwa.com/fr/fiqh-maliki/ikhtiyarat-al-hafidh-ibn-abdil-barr-al-fiqhiya.html
20,Édition vérifiée avec des annotations bénéfiques.,https://www.sifatusafwa.com/fr/fiqh-maliki/isal-a-salik-ila-usul-madhahb-al-imam-malik-al-walati.html#/28-edition-couverture_souple
21,Édition vérifiée avec des annotations bénéfiques.,https://www.sifatusafwa.com/fr/fiqh-maliki/isal-a-salik-ila-usul-madhahb-al-imam-malik-al-walati.html#/29-edition-couverture_rigide
22,,https://www.sifatusafwa.com/fr/fiqh-maliki/matn-ibn-ashir-fil-fiqh-al-maliki-al-murshid-al-muin.html#/40-edition-petit_format
23,,https://www.sifatusafwa.com/fr/fiqh-maliki/matn-ibn-ashir-fil-fiqh-al-maliki-al-murshid-al-muin.html#/41-edition-format_moyen
24,"Édition libanaise (Ibn Hazm), 260 pages, 100% harakat.",https://www.sifatusafwa.com/fr/fiqh-maliki/matn-risala-al-qayrawani-ibn-abi-zayd.html#/150-edition-grand_format_couverture_rigide
25,"Édition libanaise (Ibn Hazm), 260 pages, 100% harakat.",https://www.sifatusafwa.com/fr/fiqh-maliki/matn-risala-al-qayrawani-ibn-abi-zayd.html#/21-edition-egyptienne
26,"Édition libanaise (Ibn Hazm), 260 pages, 100% harakat.",https://www.sifatusafwa.com/fr/fiqh-maliki/matn-risala-al-qayrawani-ibn-abi-zayd.html#/23-edition-libanaise_qualité_saoudienne
27,"Édition de poche (10x15cm), 100% harakat",https://www.sifatusafwa.com/fr/fiqh-maliki/moukhtasar-khalil-harakat-fiqh-maliki.html#/23-edition-libanaise_qualité_saoudienne
28,"Édition de poche (10x15cm), 100% harakat",https://www.sifatusafwa.com/fr/fiqh-maliki/moukhtasar-khalil-harakat-fiqh-maliki.html#/24-edition-egyptienne_avec_harakat
29,"Édition de poche (10x15cm), 100% harakat",https://www.sifatusafwa.com/fr/fiqh-maliki/moukhtasar-khalil-harakat-fiqh-maliki.html#/40-edition-petit_format
30,"Texte brut sans annotations, dans une belle édition de qualité, en 1 seul volume. 564 pages.",https://www.sifatusafwa.com/fr/fiqh-maliki/muntakhab-al-ahkam-de-l-imam-ibn-abi-zamanin-399h-fiqh-maliki.html#/30-edition-1_volume
31,"Texte brut sans annotations, dans une belle édition de qualité, en 1 seul volume. 564 pages.",https://www.sifatusafwa.com/fr/fiqh-maliki/muntakhab-al-ahkam-de-l-imam-ibn-abi-zamanin-399h-fiqh-maliki.html#/31-edition-2_volumes
32,"Excellente édition, vérifiée à partir de 4 manuscrits principaux et 9 autres pour consolider le travail de vérification.",https://www.sifatusafwa.com/fr/oussoul-al-fiqh/tanqih-al-fusul-fi-ilm-al-usul-al-qurafi-harakat.html#/33-edition-édition_1
33,"Excellente édition, vérifiée à partir de 4 manuscrits principaux et 9 autres pour consolider le travail de vérification.",https://www.sifatusafwa.com/fr/oussoul-al-fiqh/tanqih-al-fusul-fi-ilm-al-usul-al-qurafi-harakat.html#/34-edition-édition_2
34,"Le célèbre Mouwatta de l'imam Malik ibn Anas, avec la vérification et la subdivision en Sahih et Da'if de Cheikh Salim al-Hilali, à l'image de la méthodologie suivie par son Cheikh al-Albani lors de ses vérifications des Sounans.",https://www.sifatusafwa.com/fr/recueils-classiques-de-hadith/al-muwatta-de-l-imam-malik-divisé-en-sahih-et-da-if.html
35,,https://www.sifatusafwa.com/fr/recueils-classiques-de-hadith/al-muwatta-de-l-imam-malik.html#/143-edition-syrienne_qualité_saoudienne
36,,https://www.sifatusafwa.com/fr/recueils-classiques-de-hadith/al-muwatta-de-l-imam-malik.html#/23-edition-libanaise_qualité_saoudienne
37,,https://www.sifatusafwa.com/fr/recueils-classiques-de-hadith/al-muwatta-de-l-imam-malik.html#/24-edition-egyptienne_avec_harakat
